song,artist,duration,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,valence,tempo,cluster
Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight & The Pips,264266,0.499,0.355,0.65,0.0001,0.279,-14.163,0.0396,0.569,140.321,0
I Will - Remastered,The Beatles,105933,0.631,0.387,0.742,0.000406,0.0822,-11.529,0.0262,0.832,103.11,0
Universal Consciousness,Alice Coltrane,302093,0.261,0.874,0.0271,0.689,0.064,-8.649,0.21,0.296,127.135,3
Mother Of Pearl,Roxy Music,411921,0.442,0.899,0.0276,0.00395,0.258,-7.612,0.0687,0.504,101.124,4
Sheila,Tommy Roe,126133,0.399,0.478,0.181,0.000313,0.0871,-12.56,0.0636,0.65,136.937,4
Golden Phone,Micachu & The Shapes,163840,0.883,0.897,0.216,0.0514,0.0835,-6.425,0.342,0.222,90.015,6
The Rest of My Life,Sloan,166645,0.59,0.722,0.00052,9.28e-06,0.0712,-5.783,0.0265,0.67,116.035,2
Oh Mandy,The Spinto Band,215306,0.509,0.955,0.0521,0.00021,0.105,-3.918,0.0396,0.557,137.063,4
Rip Her To Shreds - Remastered,Blondie,202826,0.571,0.764,0.0542,1.18e-05,0.22,-6.987,0.0291,0.863,122.846,2
Swim,Surfer Blood,198946,0.479,0.863,0.107,0.00226,0.452,-6.167,0.0543,0.515,122.022,1
"Girl, You'll Be A Woman Soon",Neil Diamond,201133,0.472,0.377,0.273,0.000407,0.083,-13.643,0.0285,0.725,110.354,0
Stuck on You,Elvis Presley,139533,0.67,0.521,0.788,0.000287,0.163,-11.772,0.0383,0.941,131.993,2
Control (feat. Jay Electronica & Big Sean),Black Hippy,450230,0.419,0.94,0.222,0.0,0.308,-5.56,0.406,0.741,83.537,6
Pop Out (feat. Lil Tjay),Polo G,166560,0.772,0.639,0.15,0.0,0.0698,-7.119,0.467,0.261,168.112,6
Song For Chè,Charlie Haden,569693,0.337,0.38,0.687,0.474,0.119,-16.417,0.0484,0.2,147.28,5
The Boss,James Brown,194866,0.736,0.354,0.579,0.0103,0.0757,-14.709,0.0475,0.62,97.924,0
Y Lo Que Quiero Es Que Pises Sin El Suelo,Catupecu Machu,192240,0.689,0.945,0.109,0.0,0.234,-2.379,0.062,0.738,137.025,2
Heartbreaker (feat. Jay-Z),Mariah Carey,285706,0.524,0.816,0.383,0.0,0.349,-5.872,0.37,0.789,200.031,6
Blue Train - Remastered 2003,John Coltrane,644013,0.506,0.493,0.798,0.00355,0.307,-7.759,0.0427,0.584,134.77,5
I'm a Man of Constant Sorrow,The Stanley Brothers,175106,0.384,0.381,0.952,0.0223,0.37,-12.81,0.0356,0.695,179.357,0
April Fools,Rufus Wainwright,300560,0.452,0.737,0.192,0.0,0.208,-7.005,0.0413,0.481,110.346,4
Boops (Here To Go) - Edit,Sly & Robbie,218573,0.845,0.669,0.209,0.000179,0.0958,-8.965,0.0706,0.559,103.073,2
Ma préférence,Julien Clerc,206866,0.562,0.41,0.764,0.000353,0.0773,-7.51,0.0253,0.29,97.782,0
All I Want for Christmas (Is My Two Front Teeth),Spike Jones & His City Slickers,187400,0.668,0.215,0.951,0.0,0.183,-10.548,0.293,0.696,137.763,6
You Do Something To Me,Paul Weller,218560,0.444,0.339,0.477,0.00664,0.112,-13.156,0.0273,0.297,72.637,0
When I'm With Him,Empress Of,193946,0.779,0.846,0.301,8.83e-06,0.0623,-5.68,0.0345,0.757,116.014,2
If the Kids Are United,Sham 69,225560,0.198,0.955,0.00463,0.0526,0.689,-4.76,0.0882,0.279,133.556,1
Entertain,Sleater-Kinney,295666,0.359,0.943,0.0126,0.00235,0.272,-2.312,0.0743,0.327,144.44,4
Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,176702,0.728,0.607,0.133,0.0,0.0864,-8.417,0.132,0.445,129.938,2
Stacy's Mom,Fountains Of Wayne,197986,0.774,0.75,0.00207,1.78e-05,0.0808,-4.927,0.0412,0.927,118.015,2
Trick Me,Kelis,206106,0.97,0.72,0.0369,0.000389,0.326,-3.347,0.149,0.962,107.17,2
