names,uri,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
Drinking from the Bottle (feat. Tinie Tempah),spotify:track:1oHxIPqJyvAYHy0PVrDU98,"['Calvin Harris', 'Tinie Tempah']",62,0.665,0.886,9,-4.175,0,0.0514,0.0469,6.24e-05,0.0525,0.53,128.062,240347,4,5
"Watch Out For This (Bumaye) [feat. Busy Signal, The Flexican & FS Green]",spotify:track:0pDYeia7ZXB8kbCuSc5hKp,"['Major Lazer', 'Busy Signal', 'FS Green', 'The Flexican']",0,0.828,0.755,10,-4.116,0,0.156,0.0202,9.61e-06,0.0625,0.862,108.056,269147,4,5
Halt dein Maul,spotify:track:05q207shONzq488RXdV0S1,['Y-Titty'],49,0.558,0.8,9,-3.776,1,0.173,0.0104,0.0,0.234,0.812,150.068,218093,4,6
Touch the Sky (feat. DJ Ammo),spotify:track:16lMe3mw46b7QRqO4eIdCZ,"['Sean Paul', 'DJ Ammo']",18,0.793,0.913,5,-5.324,0,0.17,0.00783,0.0761,0.246,0.681,129.99,232533,4,5
One Night In Ibiza - Radio Mix feat Patrick Miller,spotify:track:3Z0KOu0VhHD9djitsBx1BR,"['Mike Candys', 'Patrick Miller', 'Evelyn']",5,0.711,0.916,2,-4.493,1,0.0638,0.012,9.79e-06,0.154,0.454,127.006,169355,4,1
Not All About The Money (Radio Edit) [feat. Timbaland & Grooya],spotify:track:50kj6mfIMyySqjssvapXn3,"['La La Land', 'Timati', 'Timbaland', 'Grooya']",19,0.725,0.921,1,-5.498,0,0.0633,0.139,0.0,0.277,0.92,131.608,190494,4,5
Brand New Day - Radio Mix,spotify:track:0BUI6QztiVlo6GK32zYW5K,['Mike Candys feat. Evelyn & Carlprit'],27,0.646,0.892,6,-2.681,0,0.0695,0.0362,0.0,0.176,0.513,127.962,167143,4,5
House Party - Radio Edit,spotify:track:73htmdTpGdBPAhHdpEblRU,"['DJ Antoine', 'Mad Mark', 'B-Case', 'U-Jean']",23,0.699,0.915,10,-3.382,0,0.0565,0.0704,0.0,0.169,0.775,127.968,206787,4,5
V.I.P. (feat. The Product G&B),spotify:track:5iZVTYv8j4nyaNwlzf0T7H,"['Kay One', 'The Product G&B']",0,0.888,0.667,0,-6.374,1,0.124,0.0569,0.0,0.119,0.745,110.042,264284,4,1
Hey Hey Hey (Pop Another Bottle) (feat. Swift K.I.D & Dev),spotify:track:6ZqZKF6iyaVOFwjk5ILoyq,"['Laurent Wery', 'Swift K.I.D.', 'Dev']",43,0.843,0.834,5,-5.427,0,0.119,0.0624,0.0,0.897,0.969,128.025,185649,4,5
Living in Stereo - Video Edit,spotify:track:4cdibe2Gw6OipksnOAZyQF,['R.I.O.'],0,0.697,0.869,0,-5.155,0,0.162,0.13,0.0,0.306,0.709,127.915,190485,4,5
Rack City,spotify:track:21nFIDqoD1L7ELsprVSzOR,['Tyga'],62,0.929,0.339,1,-10.881,1,0.371,0.0373,1.96e-05,0.187,0.273,98.986,203200,4,2
Tacatà - Radio Edit,spotify:track:62pIfDe2RdhUfYmRWdo9ZJ,['Tacabro'],46,0.812,0.857,4,-6.034,1,0.103,0.0083,0.0,0.354,0.651,126.951,210000,4,1
