danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.893,0.814,0,-5.209,1,0.352,0.167,0.00304,0.576,0.818,127.983,185196,4
0.675,0.828,9,-5.576,1,0.0607,0.00529,1.15e-06,0.187,0.498,128.066,195396,4
0.632,0.895,11,-5.276,0,0.0605,0.0416,0.0,0.0885,0.282,127.983,186892,4
0.531,0.88,2,-3.875,1,0.0406,0.0123,3.29e-06,0.176,0.266,127.993,232027,4
0.562,0.783,11,-4.727,0,0.0428,0.135,1.44e-05,0.282,0.391,132.06,181787,4
0.561,0.844,0,-4.58,1,0.063,0.0945,0.0,0.22,0.446,110.968,183240,4
0.726,0.797,9,-4.097,1,0.0272,0.128,0.0,0.154,0.624,117.969,199987,4
0.578,0.934,8,-3.404,1,0.213,0.0896,0.0,0.174,0.46,128.987,187126,4
0.578,0.969,2,-2.111,1,0.248,0.00477,1.27e-06,0.296,0.505,128.132,187500,4
0.701,0.915,4,-3.887,0,0.128,0.171,0.0,0.394,0.698,127.101,194453,4
0.644,0.87,0,-5.375,0,0.0493,0.00601,2.7e-05,0.11,0.669,127.998,201778,4
0.524,0.972,4,-1.569,0,0.0431,0.00656,0.00058,0.224,0.476,175.017,182333,4
0.51,0.831,7,-4.514,0,0.0606,0.0435,3.14e-06,0.346,0.376,128.025,185625,4
0.581,0.877,3,-3.595,0,0.0486,0.0172,0.0,0.248,0.35,127.952,189375,4
0.616,0.862,7,-5.18,0,0.0973,0.00117,0.0,0.179,0.569,127.992,234693,4
0.707,0.566,7,-5.947,0,0.059,0.0125,0.00509,0.7,0.925,132.985,176913,4
0.79,0.912,11,-5.48,0,0.0563,0.0189,0.00169,0.954,0.812,127.957,232046,4
0.649,0.773,7,-5.888,0,0.0891,0.169,0.0,0.374,0.65,128.082,195418,4
0.504,0.91,0,-4.76,1,0.101,0.0992,0.0,0.312,0.647,182.02,198640,4
0.792,0.856,11,-5.236,0,0.067,0.0159,2.88e-06,0.0981,0.714,127.988,237267,4
0.875,0.746,1,-6.562,1,0.0589,0.004,0.892,0.0416,0.338,124.98,190762,4
0.694,0.676,6,-5.159,0,0.0382,0.0606,0.0,0.287,0.762,122.928,246154,4
0.905,0.803,0,-4.126,0,0.0422,0.0611,0.0248,0.169,0.77,126.98,222040,4
0.779,0.963,2,-2.125,0,0.0399,0.0334,0.493,0.664,0.759,127.941,222187,4
0.797,0.423,7,-11.079,1,0.0582,0.346,0.00173,0.137,0.647,101.953,151618,4
0.694,0.488,7,-11.875,0,0.0381,0.042,0.00514,0.441,0.719,113.994,208457,4
0.739,0.467,0,-13.108,0,0.0471,0.0499,0.113,0.0704,0.597,111.956,203036,4
0.638,0.509,3,-11.337,1,0.0345,0.178,4.03e-06,0.118,0.54,109.942,175161,4
0.651,0.801,0,-7.34,1,0.0514,0.123,0.0,0.0825,0.776,133.769,200480,4
0.73,0.426,5,-11.39,1,0.0423,0.141,0.000116,0.135,0.903,149.98,218000,4
0.765,0.394,11,-12.446,1,0.0307,0.234,0.154,0.114,0.702,132.004,175909,3
0.797,0.608,6,-6.096,0,0.0584,0.00112,7.66e-05,0.0748,0.402,127.999,279507,4
0.589,0.877,5,-2.642,1,0.0399,0.00681,0.0,0.199,0.373,128.007,201900,4
0.614,0.932,4,-0.112,0,0.177,0.291,0.0,0.0616,0.299,128.061,218086,4
0.662,0.871,7,-3.149,1,0.0409,0.00431,0.0,0.26,0.711,128.06,188640,4
0.67,0.897,6,-5.892,0,0.0353,0.00115,0.0694,0.0549,0.732,126.996,291330,4
0.718,0.752,0,-4.766,1,0.0299,0.0558,0.00147,0.168,0.835,127.987,207791,4
0.713,0.707,6,-4.288,0,0.0722,0.325,0.0,0.124,0.844,128.084,199053,4
0.684,0.739,8,-6.908,0,0.234,0.0311,0.0,0.202,0.86,127.965,182996,4
0.678,0.804,0,-6.638,1,0.0727,0.00246,0.0,0.694,0.505,127.974,192573,4
0.686,0.861,0,-4.563,1,0.0492,0.15,0.0,0.34,0.881,128.052,210361,4
0.654,0.757,7,-4.479,0,0.0324,0.0447,0.00064,0.34,0.622,127.942,201134,4
0.744,0.957,7,-4.8,1,0.0519,0.00152,0.881,0.353,0.529,127.99,287184,4
0.616,0.86,5,-2.711,0,0.0557,0.0354,0.000148,0.0738,0.522,127.995,204387,4
0.681,0.904,11,-4.942,0,0.0459,0.0321,0.00606,0.105,0.407,127.945,200934,4
0.727,0.91,0,-4.516,1,0.0466,0.00211,1.01e-06,0.165,0.747,127.088,207440,4
0.934,0.703,1,-3.747,1,0.102,0.0392,0.000448,0.0658,0.667,128.036,195727,4
0.669,0.923,7,-4.113,1,0.0332,0.0102,2.49e-06,0.0659,0.967,127.998,206537,4
0.727,0.827,9,-3.401,1,0.0653,0.00191,0.000176,0.181,0.636,127.978,280337,4
0.579,0.858,8,-7.365,1,0.0378,0.00234,0.00881,0.0855,0.086,125.928,191187,4
0.671,0.887,2,-6.25,1,0.0288,0.0228,0.0033,0.119,0.945,128.021,207683,4
0.692,0.841,4,-7.957,0,0.0389,0.000214,0.662,0.658,0.931,126.539,214330,4
0.637,0.889,0,-3.877,1,0.0529,0.233,0.0,0.253,0.59,128.012,193434,4
0.756,0.881,4,-3.848,0,0.0899,0.029,2.32e-05,0.317,0.704,126.974,214298,4
0.652,0.733,11,-5.88,1,0.0338,0.00723,0.0,0.127,0.534,127.982,182764,4
0.711,0.927,10,-2.751,1,0.037,0.0789,0.0,0.103,0.693,128.014,210469,4
0.566,0.934,1,-4.094,0,0.105,0.0911,0.0,0.707,0.848,128.032,187524,4
0.577,0.687,8,-7.601,1,0.0471,0.0113,4.42e-06,0.112,0.291,124.956,225520,4
0.664,0.94,11,-3.404,1,0.0722,0.0323,0.0,0.374,0.841,130.04,199733,4
0.664,0.886,0,-4.055,0,0.0385,0.0259,0.0,0.283,0.669,128.027,218573,4
0.753,0.581,11,-5.675,0,0.0606,0.006,0.0,0.074,0.789,128.953,182995,4
0.649,0.816,5,-4.802,1,0.0599,0.0552,0.0,0.162,0.451,130.012,182498,4
0.416,0.849,1,-4.909,0,0.0455,0.00864,0.000138,0.204,0.147,125.098,205440,4
0.582,0.988,2,-3.365,0,0.112,0.136,0.0,0.955,0.502,127.045,200315,4
0.627,0.852,2,-5.208,1,0.0386,0.00297,6.69e-05,0.239,0.453,130.002,156166,4
0.943,0.705,6,-6.554,0,0.237,0.00927,0.00016,0.0816,0.715,125.01,280592,4
0.768,0.863,9,-4.908,1,0.378,0.138,1.57e-06,0.379,0.598,128.017,189092,4
0.804,0.697,0,-4.142,1,0.0451,0.112,0.0,0.163,0.586,126.965,202046,4
0.524,0.814,1,-8.225,0,0.044,0.039,1.8e-06,0.366,0.358,127.961,179880,4
0.633,0.858,11,-4.525,1,0.0366,0.00181,1.95e-05,0.0657,0.784,128.012,228817,4
0.509,0.79,6,-3.782,0,0.0374,0.332,6.67e-05,0.316,0.638,127.946,208316,4
0.689,0.966,4,-3.731,1,0.0565,0.301,0.000101,0.574,0.277,128.022,225000,4
0.617,0.873,0,-4.406,1,0.0299,0.106,0.0,0.1,0.338,127.939,206550,4
0.65,0.756,1,-3.085,1,0.0392,0.00277,0.0,0.395,0.601,128.053,182582,4
0.606,0.883,3,-3.243,1,0.0423,0.00872,0.0,0.0698,0.608,128.053,244907,4
0.587,0.862,2,-5.996,1,0.035,0.0125,0.0,0.342,0.772,128.001,206827,4
0.701,0.93,6,-1.72,0,0.0847,0.0657,6.67e-06,0.167,0.341,128.024,167734,4
0.637,0.933,5,-3.998,1,0.0801,0.0323,0.0,0.182,0.765,127.938,183154,4
0.581,0.85,2,-3.23,0,0.0662,0.00787,0.000242,0.136,0.35,127.994,162911,4
0.771,0.594,6,-6.12,1,0.123,0.0106,0.00181,0.0549,0.579,127.995,351099,4
0.636,0.76,8,-9.14,0,0.372,0.0143,0.01,0.516,0.404,128.008,247012,4
0.653,0.931,6,-5.886,1,0.047,0.00477,0.608,0.296,0.211,128.009,300110,4
0.784,0.747,11,-4.963,0,0.0532,0.0438,0.000453,0.0718,0.7,127.962,172800,4
0.666,0.952,3,-2.492,1,0.0359,0.0318,0.678,0.216,0.622,128.076,166875,4
0.704,0.793,8,-2.266,1,0.0591,0.0488,0.0,0.575,0.412,127.96,199680,4
0.708,0.906,0,-3.944,0,0.0412,0.0358,0.154,0.116,0.691,127.997,209093,4
0.613,0.792,8,-2.971,0,0.103,0.000356,0.00139,0.0848,0.646,128.006,285173,4
0.502,0.924,0,-4.955,1,0.11,0.00183,0.0,0.292,0.424,129.976,189666,4
0.703,0.897,6,-5.205,0,0.0424,0.00157,0.0274,0.402,0.427,128.062,217133,4
0.623,0.911,3,-4.069,0,0.206,0.164,0.0,0.13,0.789,124.936,191121,4
0.635,0.827,11,-7.541,0,0.0583,0.211,0.00719,0.0947,0.272,149.974,197962,4
0.709,0.734,5,-7.273,1,0.0353,0.00392,0.0,0.385,0.556,127.95,213073,4
0.77,0.823,1,-3.713,1,0.038,0.224,2.71e-05,0.0913,0.58,125.975,211726,4
0.454,0.863,11,-4.992,0,0.04,0.00371,0.0275,0.0947,0.569,128.002,217559,4
0.571,0.91,2,-2.925,1,0.0467,0.107,0.0,0.264,0.49,127.987,162150,4
0.498,0.862,7,-6.02,0,0.0589,0.000313,0.00941,0.352,0.47,128.034,192294,4
0.588,0.932,5,-3.882,0,0.0717,0.00346,0.0,0.114,0.572,129.961,231957,4
0.734,0.794,1,-5.897,1,0.0414,0.0436,1.38e-06,0.214,0.368,128.084,208493,4
0.692,0.816,0,-4.724,1,0.0516,0.0265,0.000684,0.32,0.794,126.989,218480,4
0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,354520,4
0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,146250,4
0.655,0.914,0,-3.774,0,0.127,0.00206,0.0215,0.35,0.713,127.971,205498,4
0.62,0.777,9,-5.674,0,0.238,0.000714,0.00882,0.147,0.6,126.986,313618,4
0.786,0.696,9,-5.796,0,0.0428,0.0234,0.0019,0.0839,0.306,121.974,280070,4
0.611,0.785,0,-4.432,0,0.0346,0.0127,0.00325,0.125,0.414,129.972,243413,4
0.666,0.876,3,-3.078,1,0.0414,0.055,0.0,0.259,0.552,129.884,194840,4
0.597,0.922,6,-5.69,1,0.149,0.0179,0.0,0.364,0.726,127.844,234429,4
0.77,0.817,8,-5.485,1,0.0589,0.0472,0.0,0.272,0.961,122.017,197059,4
0.655,0.719,9,-6.012,0,0.0397,0.147,0.0,0.0928,0.513,128.051,187801,4
0.8,0.734,10,-5.149,0,0.119,0.0573,0.0,0.0787,0.692,128.03,180077,4
